day,median
2018-02-05,16.689404274670302
2018-02-06,18.254004472231095
2018-02-07,12.16216216216216
2018-02-08,2.1077988557663407
2018-02-09,10.804597701149433
2018-02-10,12.256049960967994
2018-02-11,9.878734102336589
2018-02-12,8.93105453917089
2018-02-13,8.355936274296859
2018-02-14,11.414816659324108
2018-02-15,11.897665176353694
2018-02-16,9.894857380803662
2018-02-17,9.20455018959123
2018-02-18,10.291164658634544
2018-02-19,9.560810810810807
2018-02-20,13.245492371705966
2018-02-21,12.678421494542402
2018-02-22,11.615044247787617
2018-02-23,11.727039398830463
2018-02-24,9.549071618037138
2018-02-25,8.59308384651823
2018-02-26,10.955882352941178
2018-02-27,11.415111433230656
2018-02-28,11.713286713286719
2018-03-01,12.442904394392821
2018-03-02,9.173772419876501
