exchange,type,table,base,quote,usd_volume
Binance,spot,binance_gala_eur_1m,gala,eur,91281.44025499998
Binance,spot,binance_kda_usdt_1m,kda,usdt,2244553.9275939995
Binance,spot,binance_near_eur_1m,near,eur,81154.54985000001
Binance,spot,binance_gmt_eur_1m,gmt,eur,45348.481544999995
Binance,spot,binance_steem_usdt_1m,steem,usdt,551346.8085849999
Binance,spot,binance_movr_usdt_1m,movr,usdt,1410653.3289885002
Binance,spot,binance_ach_usdt_1m,ach,usdt,2846642.1776200007
Binance,spot,binance_op_usdt_1m,op,usdt,17683070.2722025
Binance,spot,binance_xno_usdt_1m,xno,usdt,969613.7432
Binance,spot,binance_astr_usdt_1m,astr,usdt,1790681.36135
Binance,spot,binance_ape_usdt_1m,ape,usdt,4480901.6441695
Binance,spot,binance_bifi_usdt_1m,bifi,usdt,64122.79315
Binance,spot,binance_stg_usdt_1m,stg,usdt,1008752.4599250001
Binance,spot,binance_polyx_usdt_1m,polyx,usdt,836589.609255
Binance,spot,binance_apt_eur_1m,apt,eur,138497.14716499997
Binance,spot,binance_hft_usdt_1m,hft,usdt,924584.123745
Binance,spot,binance_magic_usdt_1m,magic,usdt,1233944.90511
Binance,spot,binance_gns_usdt_1m,gns,usdt,281221.17866499996
Binance,spot,binance_ssv_usdt_1m,ssv,usdt,2162537.833272
Binance,spot,binance_lqty_usdt_1m,lqty,usdt,1189524.5017499998
Binance,spot,binance_ustc_usdt_1m,ustc,usdt,1221907.37154
Binance,spot,binance_gas_usdt_1m,gas,usdt,818549.9071499999
Binance,spot,binance_glm_usdt_1m,glm,usdt,749835.538895
Binance,spot,binance_prom_usdt_1m,prom,usdt,597596.26461
Binance,spot,binance_qkc_usdt_1m,qkc,usdt,396728.361602
Binance,spot,binance_arb_usdt_1m,arb,usdt,31267697.859995
Binance,spot,binance_arkm_usdt_1m,arkm,usdt,7380728.2884
Binance,spot,binance_arb_eur_1m,arb,eur,176128.99638500003
Binance,spot,binance_rdnt_usdt_1m,rdnt,usdt,1004193.1355249999
Binance,spot,binance_wbtc_usdt_1m,wbtc,usdt,3860208.6957462
Binance,spot,binance_edu_usdt_1m,edu,usdt,1296277.23275
Binance,spot,binance_sui_usdt_1m,sui,usdt,123104383.69462499
Binance,spot,binance_sui_eur_1m,sui,eur,797837.50825
Binance,spot,binance_pepe_usdt_1m,pepe,usdt,84285847.75407621
Binance,spot,binance_floki_usdt_1m,floki,usdt,7633839.431669535
Binance,spot,binance_zk_usdc_1m,zk,usdc,716531.7182789999
Binance,spot,binance_zro_usdc_1m,zro,usdc,812758.3353350001
Binance,spot,binance_pendle_usdt_1m,pendle,usdt,10386470.0534
Binance,spot,binance_wbeth_usdt_1m,wbeth,usdt,175235267.43220103
Binance,spot,binance_ordi_usdc_1m,ordi,usdc,437050.33184
Binance,spot,binance_fdusd_usdt_1m,fdusd,usdt,244580745.097
Binance,spot,binance_sei_usdt_1m,sei,usdt,16668396.287039997
Binance,spot,binance_sui_usdc_1m,sui,usdc,42463296.127344996
Binance,spot,binance_cyber_usdt_1m,cyber,usdt,1386050.282805
Binance,spot,binance_ark_usdt_1m,ark,usdt,453151.00645
Binance,spot,binance_iq_usdt_1m,iq,usdt,337366.2642599999
Binance,spot,binance_ntrn_usdt_1m,ntrn,usdt,389549.584395
Binance,spot,binance_tia_usdt_1m,tia,usdt,12060376.58416
Binance,spot,binance_ordi_usdt_1m,ordi,usdt,5092319.502944999
